date,Symbol,Open,High,Low,close,volume_usdt,tradecount,IV,Fear_index,Fear_classification,ma200_raw,dist_ma200,zraw_close_60,ma30_raw,ma90_raw,vol_30mean,hv20_raw,RSI14_raw,Fear_idx
2022/3/6,BTCUSDT,39397.97,39693.87,38088.57,38420.81,1542258009.6292188,986352,79.72,22,Extreme Fear,49050.96295,-10630.15295,-0.790698424,41127.22333333334,43039.839555555554,1892270155.8830872,0.7766218794564608,50.083581383429554,0.22
2022/3/7,BTCUSDT,38420.8,39547.57,37155,37988,2449362161.7015386,1456041,80.7,23,Extreme Fear,49007.099850000006,-11019.09985,-0.922402739,41014.07033333334,42899.829,1928922044.0754704,0.7528674793272985,52.53245168947275,0.23
2022/3/8,BTCUSDT,37988.01,39362.08,37867.65,38730.63,2149652714.804345,1271128,80.93,21,Extreme Fear,48954.14065,-10223.51065,-0.623529838,40892.39566666666,42769.378333333334,1969438174.472945,0.7578943910121891,51.32592040555191,0.21
2022/3/9,BTCUSDT,38730.63,42594.06,38656.45,41941.71,2797240840.960747,1570230,81.01,22,Extreme Fear,48919.739850000005,-6978.02985,0.5825739050860298,40829.11966666666,42707.113000000005,1989195415.50819,0.7699788911130766,61.11940616867877,0.22
2022/3/10,BTCUSDT,41941.7,42039.63,38539.73,39422,2854310740.807673,1512655,80.13,28,Fear,48870.65375,-9448.65375,-0.349949787,40675.08666666666,42621.35144444445,1989422907.818521,0.800250535598753,52.428612816395784,0.28
2022/3/11,BTCUSDT,39422.01,40236.26,38223.6,38729.57,2305825015.6010857,1252571,79.73,22,Extreme Fear,48816.857350000006,-10087.28735,-0.591051883,40486.98166666667,42502.90233333333,2015867070.367121,0.8027352555492451,48.904201813080434,0.22
2022/3/12,BTCUSDT,38729.57,39486.71,38660.52,38807.36,939663387.3149892,671733,81.13,22,Extreme Fear,48772.5241,-9965.1641,-0.539721032,40330.71233333334,42377.940777777774,1954782904.1701941,0.7874803820291628,49.306840801927976,0.22
2022/3/13,BTCUSDT,38807.35,39310,37578.51,37777.34,1268441605.1866877,841844,82.47,21,Extreme Fear,48716.5442,-10939.2042,-0.899472352,40177.49933333333,42278.769555555555,1932468732.059552,0.7822306520829291,50.17847378576483,0.21
2022/3/14,BTCUSDT,37777.35,39947.12,37555,39671.37,1821922588.4472065,1114899,82.43,23,Extreme Fear,48680.6817,-9009.3117,-0.158831486,40092.616,42182.415,1955761618.1836684,0.793468735160009,40.499730674609694,0.23
2022/3/15,BTCUSDT,39671.37,39887.61,38098.33,39280.33,1796571984.458497,1060517,81.98,21,Extreme Fear,48631.73385,-9351.40385,-0.28810443,40000.17166666666,42075.91888888889,1990629573.9438527,0.7878703440861435,35.30384728192912,0.21
2022/3/16,BTCUSDT,39280.33,41718,38828.48,41114,3552563766.3655386,2051837,81.79,24,Extreme Fear,48592.8271,-7478.8271,0.4424033967019289,39952.77366666667,42003.49244444444,2061150771.7745512,0.7978453427134132,42.607515011188525,0.24
2022/3/17,BTCUSDT,41114.01,41478.82,40500,40917.9,1521083189.7108624,935784,75.18,27,Fear,48553.577450000004,-7635.67745,0.3838445827340665,39831.875,41945.56688888889,2056091680.3107247,0.7953816591271391,45.62441961818707,0.27
2022/3/18,BTCUSDT,40917.89,42325.02,40135.04,41757.51,1862337033.4847207,1065054,70.75,25,Extreme Fear,48527.45045,-6769.94045,0.7223645848701131,39761.34,41889.156111111115,2076470464.6834872,0.7973471713978938,58.64580771864143,0.25
